ID2,FieldName,Latitude,Longitude,Elevation,AnalyticalHillshade,ConvergenceIndex,TotalCatchmentArea,TopographicWetnessIndex,LengthSlopeFactor,ChannelNetworkBaseLevel,ChannelNetworkDistance,ValleyDepth,RelativeSlopePosition,Slope,Aspect,TRASP,ProfileCurvature,PlanCurvature,TangentialCurvature,AnnualGlobalSolarRadiation
22,CookEast,46.779015001024526,-117.08722800000714,787.11091,0.83776,4.74022,427.798126,5.43619,0.991012,779.518921,7.59198,26.352661,0.223658,6.229812,198.86409,0.990586,0.002155,0.016375,0.001777,1838.644898
23,CookEast,46.77900277981173,-117.08683096836735,787.07119,0.839403,0.284069,642.790344,5.591133,1.48482,780.126831,6.944336,26.392273,0.20831,7.996519,205.816177,0.998668,0.000446,-0.007609,-0.001059,1857.45398
24,CookEast,46.77907700102243,-117.08639199999817,789.83481,0.834934,-0.150245,359.421265,5.34757,0.857398,780.52771,9.307129,23.627563,0.282593,5.722611,197.68396,0.988493,0.003216,0.009584,0.000956,1831.977783
25,CookEast,46.77904700102568,-117.08597400000161,790.02046,0.824602,-1.284981,1143.985962,7.166647,0.771747,780.791504,9.228943,23.439148,0.282506,4.183977,194.255936,0.981242,0.001792,-0.063072,-0.004602,1809.005005
26,CookEast,46.77895200101939,-117.08555600000317,791.24104,0.842001,0.953981,260.081207,4.944853,0.88987,781.071594,10.169434,22.21167,0.314055,6.190938,195.964737,0.985073,0.002557,0.021318,0.002299,1840.253662
27,CookEast,46.77906282015732,-117.08511703761309,793.0763,0.828185,1.069936,219.539429,4.895763,0.7368,781.292603,11.783691,20.36853,0.366497,5.493395,200.894928,0.9937,0.003973,0.009877,0.000946,1826.739502
28,CookEast,46.778918001019214,-117.08472000000046,792.87005,0.850228,0.286592,312.246063,5.041418,1.031031,781.403015,11.467041,20.564392,0.357993,6.743561,194.291443,0.981326,0.001209,-0.000393,-4.6e-05,1849.712158
29,CookEast,46.77900700102105,-117.08430200000568,793.80699,0.85249,-0.051137,263.45166,4.913666,0.944103,781.490173,12.316833,19.614258,0.385732,6.467604,191.035965,0.972861,0.001935,0.009931,0.001119,1847.159668
30,CookEast,46.77896000102163,-117.08388400000464,794.35491,0.855758,0.419367,267.117126,4.949454,0.920385,781.506836,12.848083,19.048767,0.402801,6.327981,187.772766,0.962845,0.000914,0.00805,0.000887,1846.140259
31,CookEast,46.77902300102438,-117.08346599999722,795.9365,0.839607,3.508579,215.668137,4.921764,0.693901,781.488037,14.448486,17.436462,0.453144,5.259379,190.861877,0.972365,0.002082,0.002974,0.000273,1828.20166
32,CookEast,46.7789440010205,-117.08304799999878,795.15232,0.881979,2.080657,312.502686,4.966191,1.136686,781.377686,13.774658,18.194275,0.430876,7.270948,177.674072,0.92251,0.000834,0.004791,0.000606,1862.006348
33,CookEast,46.77901300102674,-117.08263000000113,796.61409,0.899899,3.174899,196.142349,4.368066,1.226142,781.292053,15.322021,16.698792,0.478502,8.286367,175.027039,0.909711,0.006785,0.016549,0.002385,1877.192139
34,CookEast,46.77905000102482,-117.08221199999544,794.41756,0.944319,1.199659,293.799408,4.485952,1.449837,781.193848,13.223694,18.864746,0.412101,9.125358,130.944504,0.594929,0.00168,0.019827,0.003145,1830.298096
35,CookEast,46.77885200102648,-117.08179400000633,788.91865,0.915477,-2.452664,879.796387,5.899858,1.591422,781.104614,7.814026,24.348267,0.242956,8.037262,158.379349,0.810433,0.001273,0.00255,0.000357,1862.62561
36,CookEast,46.77900736612355,-117.08140584057901,788.8892,0.869565,-6.458903,1339.510254,6.69836,1.065993,781.019653,7.869568,24.354248,0.244216,5.525974,165.510651,0.85669,-0.000498,0.003798,0.000366,1830.415771
37,CookEast,46.77899300102514,-117.08095799999762,788.70196,0.788123,-23.532555,32993.25,11.38518,0.836577,780.915161,7.786804,24.53833,0.24089,2.514976,222.695236,0.987776,-0.001785,-0.217758,-0.009555,1769.285156
38,CookEast,46.77884900101816,-117.08054000000011,791.33848,0.688637,3.556295,332.411469,5.108392,0.784977,780.843994,10.494507,21.924622,0.323713,5.570267,320.280975,0.326688,0.001374,0.036372,0.003531,1646.405762
39,CookEast,46.77911200102652,-117.08012199999816,791.98829,0.786545,-16.411329,8409.097656,9.134824,1.003268,780.766968,11.221313,21.260437,0.345465,3.832998,225.9328,0.980792,-0.001023,-0.016316,-0.001091,1783.187012
40,CookEast,46.77908300102403,-117.07970400000312,793.52451,0.709661,-3.149947,6168.897949,8.37352,1.195505,780.71106,12.813477,19.785522,0.393063,4.769585,291.512146,0.5738,-0.002591,-0.026413,-0.002196,1696.946045
41,CookEast,46.77904700101928,-117.07928600000673,796.05144,0.691392,-3.529525,661.639709,5.962174,0.96325,780.658752,15.3927,17.315125,0.470612,5.697783,296.944244,0.526654,-0.001312,-0.017612,-0.001748,1678.926758
42,CookEast,46.77911338071858,-117.08870618752239,773.67316,0.764555,1.857035,1140.838989,8.481665,0.234589,773.673157,0.0,39.790405,0.0,1.586568,274.353424,0.716409,-0.005058,-0.056723,-0.001571,1730.615967
43,CookEast,46.77915300101901,-117.08831800000553,775.49358,0.646783,2.469735,495.783752,5.242783,1.578057,775.44519,0.048401,37.969971,0.001273,8.72692,292.480682,0.56543,-0.002862,0.012385,0.001879,1652.63501
44,CookEast,46.77912800102582,-117.08790000000225,783.34147,0.600508,5.263007,242.061966,4.24412,1.949964,778.113525,5.227966,30.12207,0.147891,11.500093,294.603882,0.54702,0.008065,0.032873,0.006554,1613.824219
45,CookEast,46.77928832933849,-117.08746351328749,786.6435,0.601834,5.081092,270.595215,4.387249,1.916459,779.012939,7.630554,26.820068,0.221492,11.150414,297.674988,0.520284,0.008282,0.007608,0.001471,1608.224243
46,CookEast,46.77927800102402,-117.08706400000133,789.98356,0.777545,11.884713,204.047989,4.858953,0.523337,779.735596,10.247986,23.47998,0.303842,4.393167,233.074615,0.959998,0.001137,0.068079,0.005215,1781.502686
47,CookEast,46.77936300102523,-117.08664599999709,791.21381,0.788022,10.740424,312.129517,6.088719,0.26618,780.245789,10.968018,22.249451,0.330188,2.374897,222.554153,0.988046,0.002552,0.005751,0.000238,1767.866699
48,CookEast,46.779333001021534,-117.08622800000366,791.51097,0.804106,0.884138,138.374832,5.984022,0.090102,780.607544,10.903442,21.950806,0.331873,1.169678,158.82106,0.813445,0.00216,0.048792,0.000996,1756.303955
49,CookEast,46.77923800102054,-117.08581000000353,791.48959,0.768365,6.375059,312.947357,6.099691,0.263447,780.981934,10.507629,21.967407,0.32356,2.355186,250.559265,0.879867,-0.00022,0.001758,7.2e-05,1749.429565
50,CookEast,46.779321227778425,-117.08533552848378,792.74848,0.733577,23.119184,197.101379,5.216999,0.312589,781.29248,11.455994,20.702393,0.356237,2.969712,313.956573,0.379407,-0.000345,0.04446,0.002303,1694.278687
51,CookEast,46.77919681234803,-117.0849635131284,794.08642,0.749015,36.273613,122.84671,4.881091,0.171988,781.462097,12.624329,19.35553,0.394759,2.085167,316.115601,0.361212,0.00222,0.091492,0.003329,1706.118652
52,CookEast,46.779293001021166,-117.08455600000421,793.82088,0.722815,2.336079,243.320877,5.148471,0.619936,781.708252,12.11261,19.610291,0.381825,4.73257,354.138916,0.09478,0.00085,-0.010251,-0.000846,1640.488037
53,CookEast,46.779246001024674,-117.08413800000488,795.17926,0.72603,10.444493,151.234909,4.919003,0.410069,781.683472,13.495789,18.236389,0.425303,3.703589,337.536499,0.195367,0.004962,0.00922,0.000596,1667.218262
54,CookEast,46.779309001024835,-117.08372000000635,795.1908,0.683157,-1.299727,239.397736,4.74243,1.020332,781.699829,13.490967,18.196289,0.425754,6.969734,345.801666,0.141535,0.003187,-0.007807,-0.000947,1595.283936
55,CookEast,46.779230001025475,-117.08330200000303,797.07129,0.740431,20.014198,113.732765,4.587139,0.224408,781.533264,15.538025,16.289612,0.488193,2.589289,320.599243,0.324085,0.00621,0.061585,0.002782,1696.221436
56,CookEast,46.77931127778716,-117.08290190849362,797.2676,0.703642,1.039115,176.631439,4.728354,0.661373,781.424072,15.843506,16.058167,0.496636,5.226591,340.114807,0.177839,0.005911,0.003164,0.000288,1635.591797
57,CookEast,46.779336001025655,-117.08246600000186,797.64254,0.787132,53.846397,116.858002,5.060669,0.175017,781.279541,16.362976,15.647888,0.511169,2.059679,46.735123,0.021177,0.000679,0.195201,0.007016,1708.118042
58,CookEast,46.77913800101975,-117.08204799999758,794.11226,0.920528,0.465157,421.773682,5.199297,1.314395,781.162842,12.949402,19.15564,0.403345,7.767013,130.165558,0.588247,0.000563,-0.010239,-0.001384,1817.184814
59,CookEast,46.779252442834974,-117.08160014682892,792.08949,0.879583,-3.756886,842.498779,6.246658,0.956697,781.03595,11.053528,21.138428,0.343363,5.460293,144.176636,0.704776,0.000137,-0.001573,-0.00015,1813.256348
60,CookEast,46.77927900102156,-117.08121199999873,790.87792,0.85256,-3.99047,2052.238525,7.565942,1.101737,780.952332,9.925598,22.3349,0.30767,5.030864,176.660522,0.917714,-0.00086,-0.020156,-0.001768,1825.628906
61,CookEast,46.779135001022304,-117.08079400000462,790.36432,0.836918,-6.05627,1936.86023,7.197428,0.970105,780.882202,9.482117,22.857361,0.293206,4.854136,189.418961,0.968088,-0.000268,-0.001834,-0.000155,1821.526245
62,CookEast,46.779418467138896,-117.08039988336847,793.68026,0.841622,-1.450865,1536.010742,6.728713,1.256518,780.796997,12.88324,19.49469,0.397902,6.142509,195.903381,0.984943,-0.000819,0.005206,0.000557,1839.650269
63,CookEast,46.77936900102668,-117.07995799999695,793.85516,0.814981,-1.725495,1899.194702,7.081496,1.094081,780.739197,13.115967,19.36615,0.40379,5.342059,208.994461,0.999923,-0.000684,-0.007347,-0.000684,1818.359619
64,CookEast,46.77933300102429,-117.07954000000169,795.61973,0.819311,-8.214264,2795.894775,7.473852,1.17351,780.667297,14.952454,17.687561,0.458102,5.312446,205.971207,0.998764,-0.000232,-0.007671,-0.00071,1820.497559
65,CookEast,46.77925400102197,-117.07912199999477,797.06989,0.71107,-5.744671,5365.896484,8.515064,1.356091,780.624817,16.445068,16.328979,0.501771,5.091393,283.227295,0.644288,-0.001017,-0.045884,-0.004072,1707.572388
66,CookEast,46.77928646339434,-117.07873384588419,799.46418,0.689016,-4.442706,2601.887939,7.225202,1.452105,780.5849,18.879272,14.010803,0.574011,6.331553,287.353394,0.609469,-0.004054,-0.042203,-0.004654,1690.502808
67,CookEast,46.77927100101888,-117.07828600000164,804.03872,0.620749,10.366997,153.262939,3.950007,1.45038,780.553467,23.485229,9.484985,0.712317,9.807735,300.612122,0.494658,-0.000648,0.001125,0.000192,1618.774658
68,CookEast,46.7794390010198,-117.08823100000458,774.87256,0.68202,0.693202,798.522644,6.046613,1.14268,774.872559,0.0,38.591003,0.0,6.315008,295.872864,0.535985,-0.008755,-0.015454,-0.0017,1670.975342
69,CookEast,46.7794140010249,-117.08781300000264,778.64898,0.601347,1.245358,661.490662,5.31374,2.199841,777.546204,1.102783,34.814575,0.030703,10.801126,303.813049,0.466749,-0.009806,-0.024652,-0.00462,1589.315674
70,CookEast,46.77958700102571,-117.08739500000026,784.64181,0.521489,1.413466,442.860077,4.531689,3.246684,779.197693,5.444092,28.821777,0.158878,15.599743,303.03125,0.47356,-0.001969,0.0004,0.000108,1520.068726
71,CookEast,46.77956400101863,-117.08697699999824,790.42089,0.674195,2.981981,217.599228,4.539953,0.868697,779.88446,10.536438,23.042664,0.31378,6.43084,307.675232,0.433221,0.009155,0.031609,0.00354,1650.75061
72,CookEast,46.77964900102159,-117.08655900000242,791.22631,0.741743,0.615069,211.138397,5.629881,0.268847,780.287415,10.938904,22.236633,0.329728,2.541665,325.000458,0.288687,0.00383,0.005993,0.000266,1694.343018
73,CookEast,46.77963696849656,-117.08617245559954,791.44488,0.788336,15.059686,124.663963,5.692563,0.061266,780.675537,10.769348,22.016113,0.328479,0.940234,54.856396,0.046318,0.001461,0.148767,0.002441,1725.174194
74,CookEast,46.779509631656964,-117.08569155033034,791.41823,0.751067,-1.082232,327.154511,6.257706,0.229351,781.165466,10.252747,22.037292,0.31752,2.102483,335.298492,0.211082,-0.000134,0.00095,3.5e-05,1698.128174
75,CookEast,46.77964200101921,-117.08530500000029,790.40308,0.734355,-1.380145,533.462891,5.954749,0.705673,781.608826,8.79425,23.045776,0.276201,4.633317,4.009709,0.050566,-0.000144,-0.008974,-0.000725,1642.137695
76,CookEast,46.7794900010247,-117.08488699999921,792.04606,0.729388,0.975555,410.344635,5.749048,0.622304,781.767517,10.278564,21.39325,0.324533,4.379171,356.33477800000003,0.083855,-0.000681,-0.007578,-0.000579,1647.592895
77,CookEast,46.779579001024224,-117.0844690000068,791.34085,0.723965,1.063561,495.270782,5.675958,0.90507,782.012146,9.328674,22.086182,0.296951,5.678674,4.383393,0.049146,0.002219,0.01143,0.001131,1619.779541
78,CookEast,46.77953200101814,-117.08405100000479,792.01037,0.703343,-1.079977,453.255371,5.309834,1.269395,781.93512,10.075256,21.398804,0.320113,7.476521,2.981488,0.05457,0.000133,-0.006516,-0.000848,1579.786865
79,CookEast,46.77959500102118,-117.08363299999755,790.7642,0.656411,-1.962042,600.713867,5.418297,1.674465,781.899292,8.864929,22.621155,0.281551,8.869739,345.915619,0.140842,-0.001746,-0.000546,-8.4e-05,1552.694336
80,CookEast,46.779516001022834,-117.08321500000358,793.58309,0.650736,-1.092088,408.838135,4.994373,1.629282,781.665405,11.917664,19.773193,0.37606,9.217459,345.432526,0.143788,0.003332,0.00498,0.000798,1545.471313
81,CookEast,46.779585001019775,-117.08279699999851,794.14302,0.648878,-0.800842,453.737396,5.200638,1.461378,781.418396,12.724609,19.16272,0.399049,8.336505,333.666382,0.222822,0.001236,-0.001735,-0.000252,1576.755005
82,CookEast,46.779622001020755,-117.08237900000391,795.97144,0.686306,1.073277,228.798584,4.861983,0.818303,781.243591,14.727844,17.296082,0.459901,5.918842,330.52774,0.246022,0.004364,-0.004665,-0.000481,1629.165405
83,CookEast,46.77942400102188,-117.08196100000332,795.41893,0.872748,0.018829,296.308472,5.286548,0.695821,781.122498,14.296448,17.822388,0.445111,5.018588,130.582291,0.591824,0.001197,-0.011792,-0.001032,1792.411499
84,CookEast,46.77956300102359,-117.08154300000304,795.10364,0.859252,-2.306289,573.458008,6.067307,0.679663,781.010315,14.093323,18.098389,0.437794,4.451399,153.743362,0.777737,0.00195,-0.013277,-0.00103,1807.606567
85,CookEast,46.77956500101966,-117.08112500000223,794.67836,0.85165,-2.366898,823.698914,6.573989,1.016382,780.924683,13.753662,18.498352,0.426444,5.442322,182.653351,0.944122,-0.000103,-0.010756,-0.00102,1832.799072
86,CookEast,46.779421001024716,-117.08070700000383,793.16645,0.847254,-1.614054,1562.678467,6.800393,1.175565,780.842163,12.32428,20.009521,0.381158,5.819175,189.709702,0.968974,-0.001266,-0.003735,-0.000379,1837.329102
87,CookEast,46.77968400102237,-117.0802889999944,797.28665,0.834599,-0.816599,1135.890747,6.389533,1.241157,780.76001,16.526611,15.835938,0.510671,6.374618,201.535934,0.994554,0.000328,0.010356,0.00115,1839.657105
88,CookEast,46.7796550010204,-117.07987100000196,798.41238,0.838094,-0.071698,1140.609497,6.326686,1.353664,780.703552,17.708801,14.741638,0.545718,6.81251,201.656647,0.994708,0.000221,0.002094,0.000248,1846.028564
89,CookEast,46.77960671544094,-117.07944701867758,798.47755,0.835066,-0.524345,1413.544678,6.606171,1.300056,780.657654,17.819885,14.78241,0.546584,6.387593,201.325546,0.994281,6e-06,-6.8e-05,-8e-06,1840.08374
90,CookEast,46.779540001024586,-117.07903500000195,798.64754,0.824972,-3.114292,2006.76416,7.010489,1.301152,780.61731,18.030212,14.73645,0.550261,6.055127,205.75618,0.998629,-0.000906,-0.013833,-0.001459,1831.541748
91,CookEast,46.77955200102494,-117.0786169999976,800.72532,0.792845,-3.734682,4349.567871,8.204573,1.24813,780.569336,20.156006,12.787964,0.611827,5.020853,222.618408,0.987923,-0.000939,-0.053976,-0.004724,1800.650391
92,CookEast,46.77955700102374,-117.07819899999582,803.48149,0.759193,-2.595676,2480.527344,7.507425,1.328409,780.537781,22.943726,10.096252,0.694423,5.745086,242.967468,0.91949,-0.00086,-0.063181,-0.006325,1778.184082
93,CookEast,46.779494001021874,-117.07778100000587,807.90827,0.633458,-2.189327,309.45932,4.624018,1.730667,780.515991,27.392273,5.706055,0.827603,10.087005,287.456787,0.608588,-0.001005,-0.00609,-0.001067,1655.298584
94,CookEast,46.779658001019584,-117.07736299999466,812.01347,0.648382,2.502725,230.739548,4.444515,1.412884,780.496887,31.516602,1.856262,0.944378,9.018687,287.924561,0.6046,-0.000254,-0.009595,-0.001504,1664.862915
95,CookEast,46.7797168211018,-117.0880730425438,774.66967,0.750036,-20.467787,1186.814331,7.760214,0.318286,774.669678,0.0,38.793884,0.0,2.140971,296.500275,0.530522,-0.002702,-0.06132,-0.002291,1712.621582
96,CookEast,46.77970000102484,-117.08766300000228,779.35803,0.594633,-0.419793,627.553772,5.21943,2.293338,777.987061,1.370972,34.10553,0.038645,11.248985,302.819214,0.475408,-0.003096,0.000508,9.9e-05,1588.566894
97,CookEast,46.779873001026864,-117.08724500000609,781.75264,0.551227,0.019083,592.501343,4.978904,2.845199,779.032532,2.720093,31.710938,0.079001,13.433307,312.570679,0.391178,-0.006518,0.001808,0.00042,1519.347656
98,CookEast,46.77985000102186,-117.0868270000029,787.55302,0.564798,0.151125,593.376953,5.273765,2.764035,779.865967,7.687073,25.910461,0.228799,12.660846,312.0961,0.395224,0.005548,-0.013895,-0.003046,1537.63562
99,CookEast,46.779935001021464,-117.08640899999496,790.2424,0.691795,3.027585,262.164917,4.909111,0.712706,780.248047,9.994324,23.220154,0.300903,5.36314,314.761566,0.372601,0.004498,0.017217,0.001609,1656.609985
100,CookEast,46.77990500101876,-117.08599100000292,790.956,0.791494,12.186887,244.7854,5.952644,0.166446,780.773987,10.182007,22.504028,0.311509,1.768248,55.524406,0.048799,0.001246,0.016976,0.000524,1715.803223
101,CookEast,46.77981000102529,-117.08557300000022,790.10417,0.786221,-3.664162,1575.391846,7.772982,0.47845,781.241638,8.862549,23.351563,0.275114,2.804949,44.562561,0.016063,-0.00056,-0.076339,-0.003736,1695.519043
102,CookEast,46.779928001022185,-117.08515500000097,788.3656,0.735495,-2.771795,1059.068726,6.815614,0.645429,781.86731,6.498291,25.080994,0.205777,3.891714,356.358215,0.083741,0.000178,-0.007388,-0.000501,1657.622681
103,CookEast,46.7797760010183,-117.0847370000023,789.63455,0.740812,0.870102,672.025452,6.33719,0.607559,782.087036,7.547485,23.801941,0.240754,3.984308,3.549344,0.052341,-0.000327,0.004192,0.000291,1655.748413
104,CookEast,46.77988297285482,-117.08434521729102,788.65984,0.743559,-0.094852,738.226501,6.342302,0.694453,782.296265,6.363586,24.762878,0.204443,4.353053,9.721622,0.03099,-0.000269,-0.000872,-6.6e-05,1648.947754
105,CookEast,46.779818001020466,-117.08390099999761,788.61976,0.768513,-0.512973,1144.222778,6.894076,0.654535,782.138184,6.481567,24.782043,0.20732,3.887372,28.687006,0.000131,0.000937,-0.015561,-0.001055,1666.61731
106,CookEast,46.77988100102125,-117.08348299999984,787.84616,0.733042,-4.802502,787.127563,6.190187,0.929883,781.993164,5.852966,25.529663,0.186503,5.398403,8.92511,0.033444,0.000768,0.012305,0.001158,1626.508545
107,CookEast,46.77980200101883,-117.08306500000262,790.17416,0.655514,-3.06063,905.373291,5.986621,1.486192,781.604492,8.569641,23.155334,0.270123,7.588861,325.497467,0.284764,-0.000459,-0.007782,-0.001028,1602.509521
108,CookEast,46.77987100102221,-117.08264700000353,791.75015,0.652311,-3.706656,698.237366,5.953065,1.48903,781.358948,10.391174,21.53894,0.325435,7.632893,317.356476,0.350842,0.001863,-0.004537,-0.000603,1614.719116
109,CookEast,46.779879766154906,-117.08219347622689,794.43229,0.680107,-2.094467,411.883209,5.420026,0.956421,781.174194,13.258118,18.817322,0.413342,6.096955,307.154877,0.437724,0.001437,-0.003624,-0.000385,1656.706665
110,CookEast,46.77967045146464,-117.08175330907534,795.97493,0.842751,3.776736,302.763184,5.665245,0.440388,781.033936,14.940979,17.233154,0.464379,3.515945,156.435852,0.796961,0.000332,-0.025636,-0.001572,1794.768555
111,CookEast,46.77984900102093,-117.08139300000535,797.45395,0.845728,7.122733,247.795898,5.068015,0.706682,780.952393,16.501587,15.728943,0.511986,5.220853,185.430511,0.954729,0.001547,0.005505,0.000501,1829.026611
112,CookEast,46.779851001026834,-117.08097499999963,798.00956,0.861527,0.528651,528.186218,5.549281,1.171752,780.851563,17.15802,15.129761,0.531409,6.863442,188.080185,0.963854,-0.000761,-0.003155,-0.000377,1854.620606
113,CookEast,46.779690627313805,-117.08053908579693,796.54713,0.844559,-0.743217,1126.270386,6.40557,1.2006,780.801331,15.745789,16.579041,0.487111,6.22134,194.511215,0.981841,0.000143,0.001422,0.000154,1841.87207
114,CookEast,46.77997000102541,-117.08013900000395,800.88477,0.844691,0.031187,934.718506,6.082327,1.378515,780.723389,20.161377,12.20105,0.622987,7.124775,199.552322,0.99171,-0.001879,-0.016654,-0.002066,1852.462524
115,CookEast,46.77992462718727,-117.07970308597861,802.23909,0.851225,0.050171,826.631653,5.940961,1.377233,780.673035,21.56604,10.882996,0.664613,7.256413,196.671555,0.986532,-0.000479,0.001288,0.000163,1856.628906
116,CookEast,46.779905001025085,-117.07930300000693,802.09807,0.846973,-0.040773,949.947571,6.156828,1.283382,780.631958,21.466125,11.139221,0.658362,6.724862,196.123276,0.985407,-0.000545,-0.001919,-0.000225,1849.033081
117,CookEast,46.779826001019714,-117.07888500000614,803.58354,0.828277,-0.821405,1163.451782,6.435161,1.212918,780.582214,23.001343,9.856018,0.700036,6.239196,204.611389,0.99779,0.000387,0.000703,7.6e-05,1835.636719
118,CookEast,46.77983800102041,-117.07846699999533,805.09826,0.822063,-2.29349,927.729492,6.233661,1.122707,780.55072,24.547546,8.479431,0.743257,6.086912,207.60939,0.999565,4.2e-05,0.004642,0.000492,1830.855469
119,CookEast,46.7798266350497,-117.0780191599871,806.49696,0.810187,-5.571129,1054.251953,6.360154,1.153788,780.524292,25.972656,7.141785,0.78433,6.095132,214.45105,0.998492,8e-06,-0.014884,-0.00158,1823.835693
120,CookEast,46.779780001022154,-117.07763099999524,808.84997,0.71243,-2.931337,539.678772,5.442405,1.38682,780.506042,28.343933,4.856995,0.853709,7.792976,260.883972,0.815446,-0.000628,-0.028222,-0.003827,1746.130249
121,CookEast,46.77994400102152,-117.07721300000188,811.62003,0.782192,-6.8792,127.111877,4.352314,0.448631,780.488892,31.131165,2.136902,0.935767,4.241344,40.392719,0.008203,0.011021,-0.004536,-0.000336,1670.9198
